"bibref","main_method_category","subcategory_1","subcategory_2","subcategory_3","method_description"
"gonzalesAssessingValueInformation2001","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"haesekerIncorporatingUncertaintySt2001","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"koetsinchaiHeuristicPlanningWater2001","Optimization","","","","Mathematical techniques for finding the best solution from a set of feasible alternatives, often subject to constraints and multiple objectives."
"meyerElicitingAnalyzingExpert2001","Delphi/Expert Judgment","","","","Structured communication techniques for obtaining reliable consensus from groups of experts on complex or uncertain topics."
"murphyAchievingBusinessValue2002","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"perryModelbasedMethodologyEvaluation2002","Delphi/Expert Judgment","group decision","","","Structured communication techniques for obtaining reliable consensus from groups of experts on complex or uncertain topics."
"polkKeyCompetenciesInstitutional2001","Delphi/Expert Judgment","","","","Structured communication techniques for obtaining reliable consensus from groups of experts on complex or uncertain topics."
"vardyEssaysAppliedGame2001","Game Theory","","","","Mathematical framework for analyzing strategic interactions between rational decision-makers with potentially conflicting interests."
"bailyPurchasingPrinciplesManagement2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"baronRationalityIntelligence2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"blanchardDigitalChallengeLibraries2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"corpsCommandControlMarine2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"elhayekCatastropheInsurancePortfolio2005","Optimization","","","","Mathematical techniques for finding the best solution from a set of feasible alternatives, often subject to constraints and multiple objectives."
"flemingReasoningInteractionMixedinitiative2005","Expert Systems/AI","","","","Computer-based systems that emulate human expertise and use artificial intelligence techniques to support decision-making processes."
"ghoshManagementControlSystems2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"greenbergTortureDebateAmerica2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"helgesenWebInclusionArchitecture2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"kockBusinessProcessImprovement2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"krauseOptimalNonmyopicValue2005","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"lanGlobalInformationSociety2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"lumScientificThinkingSpeech2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"managoKnowledgebasedBayesianNetworks2005","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"norrmanBayesianDecisionAnalysis2004","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"poynerEnablingEndusersInformation2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"proctorEssentialsMarketingResearch2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"spilsburySustainabilityForestManagement2005","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"yokotaImprovingValueInformation2003","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"abellCompetingKnowledgeInformation2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"alexandridisModellingRegionalGrazing2007","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"artmannValueInformationUpdating2009","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"barrarGlobalOutsourcingStrategies2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"barrenoEvaluatingSecurityMachine2008","Expert Systems/AI","","","","Computer-based systems that emulate human expertise and use artificial intelligence techniques to support decision-making processes."
"bhattacharjyaDecisionCircuitsGraphical2009","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"billenDynamicMobileGIS2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"brysonManagingInformationServices2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"councilCLEANERNSFsEnvironmental2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"curryManagingInformationSystems2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"donNetworkTechnologiesNetworked2007","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"duncanIncludingSevereUncertainty2008","Decision Analysis","decision theory","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"eliasDemandModelManagement2006","Expert Systems/AI","","","","Computer-based systems that emulate human expertise and use artificial intelligence techniques to support decision-making processes."
"grandersonHumancenteredSensorbasedBayesian2007","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"halePerformanceConsultantsFieldbook2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"hayes-rothHyperbeingsHowIntelligent2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"howardFoundationsDecisionAnalysis2007","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"isikIntegratedProbabilitybasedApproach2009","Optimization","","","","Mathematical techniques for finding the best solution from a set of feasible alternatives, often subject to constraints and multiple objectives."
"jonesStudyDecisionAnalysis2009","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"khosrow-pourCasesDatabaseTechnologies2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"linnesApplyingDecisionTheory2006","Decision Analysis","decision theory","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"ogusCostsCautionaryTales2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"parmigianiDecisionTheoryPrinciples2009","Decision Analysis","decision theory","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"pourretBayesianNetworksPractical2008","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"royEgovernmentCanadaTransformation2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"saloojeeInvestigatingBusinessValue2008","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"shaqadanDecisionAnalysisConsidering2008","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"steeleInformationOperationsPutting2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"wegarAdoptiveFamiliesDiverse2006","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"achrolMarketingNetworkEconomy1999","Game Theory","conflict resolution","","","Mathematical framework for analyzing strategic interactions between rational decision-makers with potentially conflicting interests."
"attoh-okineUncertaintiesAsphaltLayer1998","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"balnavesSociologyInformation1993","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"benarochCaseUsingReal1999","Real Options","binomial option","","","Financial theory applied to real assets, providing flexibility to adapt decisions as uncertainty resolves over time."
"cachonCompetitiveCooperativeInventory1999","Game Theory","nash equilibrium","","","Mathematical framework for analyzing strategic interactions between rational decision-makers with potentially conflicting interests."
"camahanTradeoffModelingProduct1998","Optimization","","","","Mathematical techniques for finding the best solution from a set of feasible alternatives, often subject to constraints and multiple objectives."
"chaoHOWCLIMATEUNCERTAINTY1999","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"chelstCantSeeForest1998","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"cooperIDEAARIDEAModels1999","Optimization","","","","Mathematical techniques for finding the best solution from a set of feasible alternatives, often subject to constraints and multiple objectives."
"coxjrInternalDoseUncertainty1999","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"dakinsRiskbasedEnvironmentalRemediation1996","Decision Analysis","expected value","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"dakinsRiskbasedEnvironmentalRemediation1996a","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"doyleStrategicDirectionsArtificial1996","Expert Systems/AI","","","","Computer-based systems that emulate human expertise and use artificial intelligence techniques to support decision-making processes."
"evansUseProbabilisticExpert1994","Probabilistic Methods","","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"felliSensitivityAnalysisExpected1998","Decision Analysis","expected value","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"gavirneniValueInformationCapacitated1999","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"gulluTwoechelonAllocationModel1997","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"hammittExpectedValueInformation1999","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"hammittSubjectiveprobabilitybasedScenariosUncertain1990","Probabilistic Methods","sensitivity analysis","","","Mathematical approaches using probability distributions and random sampling to model and analyze uncertainty in decision problems."
"hatcherUniquenessGroupDecision1990","Delphi/Expert Judgment","group decision","","","Structured communication techniques for obtaining reliable consensus from groups of experts on complex or uncertain topics."
"hatcherVotingPrioritiesHealth1994","Multi-Criteria Decision Analysis","analytic hierarchy process","","","Systematic approaches for evaluating and ranking alternatives based on multiple, often conflicting, criteria and stakeholder preferences."
"heckermanApproximateNonmyopicComputation1993","Decision Analysis","value of information","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"henrionDecisionAnalysisExpert1991","Decision Analysis","","","","Formal frameworks for structuring and analyzing complex decisions under uncertainty using mathematical models and probability theory."
"hobbsBayesianMethodsAnalysing1997","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"kadaneSeveralBayesiansReview1993","Bayesian Methods","","","","Statistical methods that update probability estimates as new evidence becomes available, incorporating prior knowledge with observed data."
"klempererAuctionTheoryGuide1999","Game Theory","auction theory","","","Mathematical framework for analyzing strategic interactions between rational decision-makers with potentially conflicting interests."
