"TITLE","YEAR","HAS_ANNOTATION","DETECTED_METHODS","CONFIDENCE","VOI","BAYESIAN","SIMULATION","UNCERTAINTY"
"Setting research priorities in global health: {Appraising} the value of evidence generation activities to support decision-making in health care",2018,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Practical metrics for establishing the health benefits of research to support research prioritisation",2020,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Promoting {COVID}-19 vaccine confidence through public responses to misinformation: {The} joint influence of message source and message content",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A hierarchical bayesian approach for incorporating expert opinions into parametric survival models: {A} case study of female ixodes ricinus ticks exposed to various temperature and relative humidity conditions",2022,TRUE,"bayesian","high",FALSE,TRUE,FALSE,FALSE
"Economic analysis of nutrition interventions for chronic disease prevention: {Methods}, research, and policy",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Dynamic expert incentives in teams",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Corporate social and environmental reporting: {A} user perspective",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"A decision-centered method to evaluate natural hazards decision aids by interdisciplinary research teams",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Listening and human communication in the 21st century",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Communicating health information with visual displays",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Illustrative case using the {RISK21} roadmap and matrix: {Prioritization} for evaluation of chemicals found in drinking water",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Integrating monitoring and optimization modeling to inform flow decisions for chinook salmon smolts",2022,TRUE,"optimization","high",FALSE,FALSE,FALSE,FALSE
"Roundtable on translating genomic-based research for health",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Detention and denial: {The} case for candor after guantánamo",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Uncertainty and risk evaluation during the exploration stage of geothermal development: {A} review",2019,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"A systematic review and economic evaluation of prasugrel compared to clopidogrel after {PCI}",2011,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"The effect of personality, emotional intelligence and social network characteristics on sales performance: {The} mediating roles of market intelligence use, adaptive selling behaviour and improvisation",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"The rocky road to extended simulation frameworks covering uncertainty, inversion, optimization and control",2017,TRUE,"simulation; optimization","high",FALSE,FALSE,TRUE,TRUE
"5. {Improving} the reliability of judgements",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Prioritisation to prevent extinction",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A practical guide to value of information analysis",2015,TRUE,"decision_analysis","high",TRUE,FALSE,FALSE,FALSE
"Late pregnancy ultrasound to screen for and manage potential birth complications in nulliparous women: {A} cost-effectiveness and value of information analysis",2021,TRUE,"decision_analysis; economic_evaluation","high",TRUE,FALSE,FALSE,FALSE
"Investing in technology for more information-when is it worth it?",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Efficient research design: {Using} value-of-information analysis to estimate the optimal mix of top-down and bottom-up costing approaches in an economic evaluation alongside a clinical trial",2016,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Economic evaluation of transperineal versus transrectal devices for local anaesthetic prostate biopsies",2021,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"The cost-effectiveness of a novel {SIAscopic} diagnostic aid for the management of pigmented skin lesions in primary care: {A} decision-analytic model",2013,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
