"BIBTEXKEY","TITLE","method_focus","sentence_length","full_sentence_with_ref","sentence","bib_reference"
"wongnakHierarchicalBayesianApproach2022","A hierarchical bayesian approach for incorporating expert opinions into parametric survival models: a case study of female ixodes ricinus ticks exposed to various temperature and relative humidity conditions","Bayesian",269,"title: a hierarchical bayesian approach for incorporating expert opinions into parametric survival models: a case study of female ixodes ricinus ticks exposed to various temperature and relative humidity conditions    keywords: bayesian  annotation: publisher: elsevier [@wongnakHierarchicalBayesianApproach2022]","title: a hierarchical bayesian approach for incorporating expert opinions into parametric survival models: a case study of female ixodes ricinus ticks exposed to various temperature and relative humidity conditions    keywords: bayesian  annotation: publisher: elsevier","[@wongnakHierarchicalBayesianApproach2022]"
"wongEconomicAnalysisNutrition2011","Economic analysis of nutrition interventions for chronic disease prevention: methods, research, and policy","General Methodology",176,"title: economic analysis of nutrition interventions for chronic disease prevention: methods, research, and policy      annotation: publisher: oxford university press oxford, uk [@wongEconomicAnalysisNutrition2011]","title: economic analysis of nutrition interventions for chronic disease prevention: methods, research, and policy      annotation: publisher: oxford university press oxford, uk","[@wongEconomicAnalysisNutrition2011]"
"wong-parodi_decision-centered_2021","A decision-centered method to evaluate natural hazards decision aids by interdisciplinary research teams","General Methodology",242,"title: a decision-centered method to evaluate natural hazards decision aids by interdisciplinary research teams    keywords: decision aids, disasters, hazards, interdisciplinary, team science  annotation: export date: 05 may 2024; cited by: 9 [@wong-parodi_decision-centered_2021]","title: a decision-centered method to evaluate natural hazards decision aids by interdisciplinary research teams    keywords: decision aids, disasters, hazards, interdisciplinary, team science  annotation: export date: 05 may 2024; cited by: 9","[@wong-parodi_decision-centered_2021]"
"wohnerIntegratingMonitoringOptimization2022","Integrating monitoring and optimization modeling to inform flow decisions for chinook salmon smolts","Optimization",143,"title: integrating monitoring and optimization modeling to inform flow decisions for chinook salmon smolts      annotation: publisher: elsevier [@wohnerIntegratingMonitoringOptimization2022]","title: integrating monitoring and optimization modeling to inform flow decisions for chinook salmon smolts      annotation: publisher: elsevier","[@wohnerIntegratingMonitoringOptimization2022]"
"wiskerEffectPersonalityEmotional2011","The effect of personality, emotional intelligence and social network characteristics on sales performance: the mediating roles of market intelligence use, adaptive selling behaviour and improvisation","General Methodology",256,"the market is extremely competitive, technology is making alternatives and low-distribution methods possible, product lifecycles are accelerating, and customers are becoming less loyal and more sophisticated while at the same time, becoming more demanding. [@wiskerEffectPersonalityEmotional2011]","the market is extremely competitive, technology is making alternatives and low-distribution methods possible, product lifecycles are accelerating, and customers are becoming less loyal and more sophisticated while at the same time, becoming more demanding.","[@wiskerEffectPersonalityEmotional2011]"
"wiskerEffectPersonalityEmotional2011","The effect of personality, emotional intelligence and social network characteristics on sales performance: the mediating roles of market intelligence use, adaptive selling behaviour and improvisation","General Methodology",194,"finally, i tested the model by comparing between the muslim and non-muslim account managers due to the understanding that islamic values influence the personality and behaviour of its followers. [@wiskerEffectPersonalityEmotional2011]","finally, i tested the model by comparing between the muslim and non-muslim account managers due to the understanding that islamic values influence the personality and behaviour of its followers.","[@wiskerEffectPersonalityEmotional2011]"
"wiskerEffectPersonalityEmotional2011","The effect of personality, emotional intelligence and social network characteristics on sales performance: the mediating roles of market intelligence use, adaptive selling behaviour and improvisation","General Methodology",59,"data was analysed using structural equation modeling (sem). [@wiskerEffectPersonalityEmotional2011]","data was analysed using structural equation modeling (sem).","[@wiskerEffectPersonalityEmotional2011]"
"wiskerEffectPersonalityEmotional2011","The effect of personality, emotional intelligence and social network characteristics on sales performance: the mediating roles of market intelligence use, adaptive selling behaviour and improvisation","General Methodology",146,"the goodness of fit index gfi, comparative fit index cfi, and root mean square error of approximation rmsea were used as model fitness indicators. [@wiskerEffectPersonalityEmotional2011]","the goodness of fit index gfi, comparative fit index cfi, and root mean square error of approximation rmsea were used as model fitness indicators.","[@wiskerEffectPersonalityEmotional2011]"
"wiskerEffectPersonalityEmotional2011","The effect of personality, emotional intelligence and social network characteristics on sales performance: the mediating roles of market intelligence use, adaptive selling behaviour and improvisation","General Methodology",85,"overall, the results of the data illustrated strong support for the conceptual model. [@wiskerEffectPersonalityEmotional2011]","overall, the results of the data illustrated strong support for the conceptual model.","[@wiskerEffectPersonalityEmotional2011]"
"wirtzRockyRoadExtended2017","The rocky road to extended simulation frameworks covering uncertainty, inversion, optimization and control","Simulation",150,"title: the rocky road to extended simulation frameworks covering uncertainty, inversion, optimization and control      annotation: publisher: elsevier [@wirtzRockyRoadExtended2017]","title: the rocky road to extended simulation frameworks covering uncertainty, inversion, optimization and control      annotation: publisher: elsevier","[@wirtzRockyRoadExtended2017]"
"wilsonPracticalGuideValue2015c","A practical guide to value of information analysis","Decision Analysis",191,"title: a practical guide to value of information analysis  abstract: value of information analysis is a quantitative method to estimate the return on investment in proposed research projects. [@wilsonPracticalGuideValue2015c]","title: a practical guide to value of information analysis  abstract: value of information analysis is a quantitative method to estimate the return on investment in proposed research projects.","[@wilsonPracticalGuideValue2015c]"
"wilsonPracticalGuideValue2015c","A practical guide to value of information analysis","Decision Analysis",349,"alternatively, trialists can use the principles to identify the efficient sample size of a proposed study as an alternative to traditional power calculations, and finally, a value of information analysis can be conducted alongside an economic evaluation as a quantitative adjunct to the `future research' or `next steps' section of a study write up. [@wilsonPracticalGuideValue2015c]","alternatively, trialists can use the principles to identify the efficient sample size of a proposed study as an alternative to traditional power calculations, and finally, a value of information analysis can be conducted alongside an economic evaluation as a quantitative adjunct to the `future research' or `next steps' section of a study write up.","[@wilsonPracticalGuideValue2015c]"
"wilsonPracticalGuideValue2015c","A practical guide to value of information analysis","General Methodology",202,"the purpose of this paper is to present a brief introduction to the methods, a step-by-step guide to calculation and a discussion of issues that arise in their application to healthcare decision making. [@wilsonPracticalGuideValue2015c]","the purpose of this paper is to present a brief introduction to the methods, a step-by-step guide to calculation and a discussion of issues that arise in their application to healthcare decision making.","[@wilsonPracticalGuideValue2015c]"
"wilsonLatePregnancyUltrasound2021a","Late pregnancy ultrasound to screen for and manage potential birth complications in nulliparous women: a cost-effectiveness and value of information analysis","Decision Analysis",201,"title: late pregnancy ultrasound to screen for and manage potential birth complications in nulliparous women: a cost-effectiveness and value of information analysis      annotation: publisher: elsevier [@wilsonLatePregnancyUltrasound2021a]","title: late pregnancy ultrasound to screen for and manage potential birth complications in nulliparous women: a cost-effectiveness and value of information analysis      annotation: publisher: elsevier","[@wilsonLatePregnancyUltrasound2021a]"
"wilsonEfficientResearchDesign2016a","Efficient research design: using value-of-information analysis to estimate the optimal mix of top-down and bottom-up costing approaches in an economic evaluation alongside a clinical trial","Decision Analysis",250,"title: efficient research design: using value-of-information analysis to estimate the optimal mix of top-down and bottom-up costing approaches in an economic evaluation alongside a clinical trial      annotation: export date: 05 may 2024; cited by: 6 [@wilsonEfficientResearchDesign2016a]","title: efficient research design: using value-of-information analysis to estimate the optimal mix of top-down and bottom-up costing approaches in an economic evaluation alongside a clinical trial      annotation: export date: 05 may 2024; cited by: 6","[@wilsonEfficientResearchDesign2016a]"
"wilsonCosteffectivenessNovelSIAscopic2013","The cost-effectiveness of a novel {SIAscopic} diagnostic aid for the management of pigmented skin lesions in primary care: a decision-analytic model","General Methodology",192,"title: the cost-effectiveness of a novel {siascopic} diagnostic aid for the management of pigmented skin lesions in primary care: a decision-analytic model      annotation: publisher: elsevier [@wilsonCosteffectivenessNovelSIAscopic2013]","title: the cost-effectiveness of a novel {siascopic} diagnostic aid for the management of pigmented skin lesions in primary care: a decision-analytic model      annotation: publisher: elsevier","[@wilsonCosteffectivenessNovelSIAscopic2013]"
"wilsonBayesianDesignAnalysis2021","Bayesian design and analysis of external pilot trials for complex interventions","Bayesian",153,"title: bayesian design and analysis of external pilot trials for complex interventions    keywords: bayesian  annotation: publisher: wiley online library [@wilsonBayesianDesignAnalysis2021]","title: bayesian design and analysis of external pilot trials for complex interventions    keywords: bayesian  annotation: publisher: wiley online library","[@wilsonBayesianDesignAnalysis2021]"
"williamsRiskAnalysisApproaches2021","Risk analysis approaches to evaluating health impacts from land-based pollution in low-and middle-income countries","General Methodology",170,"title: risk analysis approaches to evaluating health impacts from land-based pollution in low-and middle-income countries      annotation: publisher: wiley online library [@williamsRiskAnalysisApproaches2021]","title: risk analysis approaches to evaluating health impacts from land-based pollution in low-and middle-income countries      annotation: publisher: wiley online library","[@williamsRiskAnalysisApproaches2021]"
"williamsMethodsIncorporatingPopulation2016","Methods for incorporating population dynamics and decision theory in cackling goose management","General Methodology",101,"title: methods for incorporating population dynamics and decision theory in cackling goose management [@williamsMethodsIncorporatingPopulation2016]","title: methods for incorporating population dynamics and decision theory in cackling goose management","[@williamsMethodsIncorporatingPopulation2016]"
"williamsCosteffectivenessValueInformation2022","A cost-effectiveness and value of information analysis to inform future research of tranexamic acid for older adults experiencing mild traumatic brain injury","Decision Analysis",207,"title: a cost-effectiveness and value of information analysis to inform future research of tranexamic acid for older adults experiencing mild traumatic brain injury      annotation: publisher: biomed central [@williamsCosteffectivenessValueInformation2022]","title: a cost-effectiveness and value of information analysis to inform future research of tranexamic acid for older adults experiencing mild traumatic brain injury      annotation: publisher: biomed central","[@williamsCosteffectivenessValueInformation2022]"
"willcoxUnifiedMathematicalAlgorithmic2021","A unified mathematical and algorithmic framework for managing multiple information sources of multi-physics systems","General Methodology",122,"title: a unified mathematical and algorithmic framework for managing multiple information sources of multi-physics systems [@willcoxUnifiedMathematicalAlgorithmic2021]","title: a unified mathematical and algorithmic framework for managing multiple information sources of multi-physics systems","[@willcoxUnifiedMathematicalAlgorithmic2021]"
"willanBayesianMethodsDesign2013","Bayesian methods for the design, analysis and interpretation of clinical studies","Bayesian",109,"title: bayesian methods for the design, analysis and interpretation of clinical studies    keywords: bayesian [@willanBayesianMethodsDesign2013]","title: bayesian methods for the design, analysis and interpretation of clinical studies    keywords: bayesian","[@willanBayesianMethodsDesign2013]"
"wigfieldP24ImprovedEstimation2022","P24 improved estimation of overall survival and progression-free survival for state transition modelling in oncology","General Methodology",160,"title: p24 improved estimation of overall survival and progression-free survival for state transition modelling in oncology      annotation: publisher: elsevier [@wigfieldP24ImprovedEstimation2022]","title: p24 improved estimation of overall survival and progression-free survival for state transition modelling in oncology      annotation: publisher: elsevier","[@wigfieldP24ImprovedEstimation2022]"
"whitneyUsesAgentBasedModeling2022","Uses of agent-based modeling and simulation to support business decision-making for healthcare industry leadership in the {United} {States} of america","Simulation",157,"title: uses of agent-based modeling and simulation to support business decision-making for healthcare industry leadership in the {united} {states} of america [@whitneyUsesAgentBasedModeling2022]","title: uses of agent-based modeling and simulation to support business decision-making for healthcare industry leadership in the {united} {states} of america","[@whitneyUsesAgentBasedModeling2022]"
"whitneyReviewMethodsSupporting2023a","Review of methods for supporting decisions under uncertainty","General Methodology",132,"title: review of methods for supporting decisions under uncertainty    keywords: read cw  annotation: publisher: cabi wallingford uk [@whitneyReviewMethodsSupporting2023a]","title: review of methods for supporting decisions under uncertainty    keywords: read cw  annotation: publisher: cabi wallingford uk","[@whitneyReviewMethodsSupporting2023a]"
"whitneyHomegardensFutureFood2017a","Homegardens and the future of food and nutrition security in southwest {Uganda}","General Methodology",146,"we propose decision modeling as an innovative approach to help meet these challenges and offer a case study to show the effectiveness of the tool. [@whitneyHomegardensFutureFood2017a]","we propose decision modeling as an innovative approach to help meet these challenges and offer a case study to show the effectiveness of the tool.","[@whitneyHomegardensFutureFood2017a]"
"whitneyHomegardensFutureFood2017a","Homegardens and the future of food and nutrition security in southwest {Uganda}","General Methodology",169,"we use decision analysis tools to model the possible nutrition-related outcomes of the ugandan government's long term agricultural development plan termed `vision 2040'. [@whitneyHomegardensFutureFood2017a]","we use decision analysis tools to model the possible nutrition-related outcomes of the ugandan government's long term agricultural development plan termed `vision 2040'.","[@whitneyHomegardensFutureFood2017a]"
"whitneyHomegardensFutureFood2017a","Homegardens and the future of food and nutrition security in southwest {Uganda}","General Methodology",218,"the analysis indicates potential shifts in household nutritional contributions through the comparison of the current small-scale diverse systems and the envisioned industrial agricultural systems that may replace them. [@whitneyHomegardensFutureFood2017a]","the analysis indicates potential shifts in household nutritional contributions through the comparison of the current small-scale diverse systems and the envisioned industrial agricultural systems that may replace them.","[@whitneyHomegardensFutureFood2017a]"
"whitneyHomegardensFutureFood2017a","Homegardens and the future of food and nutrition security in southwest {Uganda}","General Methodology",194,"this modeling approach may be a tool for governments to consider agricultural policy implications, especially given the data scarcity and agricultural variability in regions such as east africa. [@whitneyHomegardensFutureFood2017a]","this modeling approach may be a tool for governments to consider agricultural policy implications, especially given the data scarcity and agricultural variability in regions such as east africa.","[@whitneyHomegardensFutureFood2017a]"
"whitneyHomegardensFutureFood2017a","Homegardens and the future of food and nutrition security in southwest {Uganda}","Simulation",154,"keywords: micronutrient deficiency, monte carlo simulation, nutrition, probabilistic modeling, read cw  annotation: export date: 05 may 2024; cited by: 26 [@whitneyHomegardensFutureFood2017a]","keywords: micronutrient deficiency, monte carlo simulation, nutrition, probabilistic modeling, read cw  annotation: export date: 05 may 2024; cited by: 26","[@whitneyHomegardensFutureFood2017a]"
"whitneyDecisionAnalysisSupport2018a","Decision analysis to support agriculture for nutrition","General Methodology",82,"title: decision analysis to support agriculture for nutrition    keywords: read cw [@whitneyDecisionAnalysisSupport2018a]","title: decision analysis to support agriculture for nutrition    keywords: read cw","[@whitneyDecisionAnalysisSupport2018a]"
"whateleyWebbasedScreeningModel2015","A web-based screening model for climate risk to water supply systems in the northeastern united states","General Methodology",165,"title: a web-based screening model for climate risk to water supply systems in the northeastern united states      annotation: export date: 05 may 2024; cited by: 23 [@whateleyWebbasedScreeningModel2015]","title: a web-based screening model for climate risk to water supply systems in the northeastern united states      annotation: export date: 05 may 2024; cited by: 23","[@whateleyWebbasedScreeningModel2015]"
"weyantPersonalizationMedicalTreatment2022","Personalization of medical treatment decisions: simplifying complex models while maintaining patient health outcomes","General Methodology",178,"title: personalization of medical treatment decisions: simplifying complex models while maintaining patient health outcomes      annotation: export date: 05 may 2024; cited by: 5 [@weyantPersonalizationMedicalTreatment2022]","title: personalization of medical treatment decisions: simplifying complex models while maintaining patient health outcomes      annotation: export date: 05 may 2024; cited by: 5","[@weyantPersonalizationMedicalTreatment2022]"
"wengBidirectionPerformanceEvaluation","A bi-direction performance evaluation model for water pollution treatment engineering under the intuitionistic multiplicative linguistic environment","General Methodology",193,"title: a bi-direction performance evaluation model for water pollution treatment engineering under the intuitionistic multiplicative linguistic environment      annotation: publisher: ios press [@wengBidirectionPerformanceEvaluation]","title: a bi-direction performance evaluation model for water pollution treatment engineering under the intuitionistic multiplicative linguistic environment      annotation: publisher: ios press","[@wengBidirectionPerformanceEvaluation]"
"weltzReinforcementLearningMethods2022","Reinforcement learning methods in public health","General Methodology",91,"title: reinforcement learning methods in public health      annotation: publisher: elsevier [@weltzReinforcementLearningMethods2022]","title: reinforcement learning methods in public health      annotation: publisher: elsevier","[@weltzReinforcementLearningMethods2022]"
"weltonExpectedValueInformation2017","Expected value of information analysis to evaluate the potential gains of an {RCT} comparing wound dressings","Decision Analysis",152,"title: expected value of information analysis to evaluate the potential gains of an {rct} comparing wound dressings      annotation: publisher: elsevier [@weltonExpectedValueInformation2017]","title: expected value of information analysis to evaluate the potential gains of an {rct} comparing wound dressings      annotation: publisher: elsevier","[@weltonExpectedValueInformation2017]"
