date,bibref,method_category,sentence
,abdulrahmanAutomatedSoftwareTeama,No specific method identified,An Automated Software Team Formation Based on Belbin Team Role Using Fuzzy Technique
,acostaUsingScenariosModels,No specific method identified,"2. Using Scenarios and Models to Inform Decision-Making in Diverse Policy, 2 Planning and Management Contexts 3"
,adamComparativeEffectivenessNew,No specific method identified,Comparative Effectiveness of New Oral Anticoagulants for Thromboprophylaxis
,adamIndustryBriefingCybersecurity,Expert Systems and AI,Industry Briefing Cybersecurity for the Internet of Things and Artificial Intelligence in the Ambient Environment
,adamowiczGoodPracticesHandbook,No specific method identified,A Good Practices Handbook for Managing Regulatory Impact Analyses
,addingtonCurrentIssuesVictimizationa,No specific method identified,Current Issues in Victimization Research and the NCVS's Ability to Study Them
,adetunjiINTERNATIONALJOURNALBUSINESS,No specific method identified,The International Journal of Business \& Management
,adhiLevelsFloodDefences,Bayesian Methods,Levels to Flood Defences Asset Cost and Performance Using Dynamic Bayesian Networks
,agarwalModellingBarriersIntegration,No specific method identified,Modelling the Barriers of Integration in an Agile Supply Chain
,akinkunmiKnowledgeNowledgeNowledge,No specific method identified,Knowledge as Nowledge as Nowledge as Contents Encoded in Ncoded in Ncoded in Formal Ontologies Ntologies Ntologies: An African Knowledge Engineering Roadmap for The
,akrourOnboardRobotInteractive,No specific method identified,On-Board Robot Interactive Training
,al-hatmiAnalysisICTStrategic,No specific method identified,Analysis of ICT Strategic Alignment in a Public Organisation
,al-shaikhRoleMarketingInformation,Expert Systems and AI,"These weaknesses raise the need for developing a hybrid intelligent system, where two or more techniques or technologies are combined to overcome or reduce the weaknesses of individual techniques or technologies"
,alaieImpactNonstationaryDemand,No specific method identified,The Impact of Non-Stationary Demand on Supply Chain Inventory
,albanValuebasedClinicalTrials,No specific method identified,Value-Based Clinical Trials: Selecting Trial Lengths and Recruitment Rates in Different Regulatory Contexts
,alblasBalancingProductionSpeed,No specific method identified,Balancing Production Speed and Development Learning in Smart Industries
,altowayanApplicabilityTechnologyAcceptance,No specific method identified,The Applicability of Technology Acceptance Model 3 in an Education Management Information System in the Kingdom of Saudi Arabia
,amannAirPollutionRisks,No specific method identified,Air Pollution and the Risks to Human Health--Science/Policy Interface--
,amarilliExplanatoryStudyCoevolutionary,No specific method identified,An Explanatory Study on the Co-evolutionary Mechanisms of Business IT Alignment
